ING_ID	ING_NAME_EN
99	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Dextromethorphan/Guaiacolsulfonate/Lysozyme/Pseudoephedrine/갈근탕
100	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Dextromethorphan/Guaifenesin/Pseudoephedrine
101	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Dextromethorphan/Guaifenesin/Pseudoephedrine/Riboflavin/Thiamine/갈근탕
102	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Dextromethorphan/Pseudoephedrine/Riboflavin/Thiamine
103	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Pseudoephedrine
104	Acetaminophen/Ascorbic Acid/Cloperastine/Dl-Methylephedrine/Guaiacolsulfonate/Noscapine/Platycodon/Riboflavin/Thiamine
105	Acetaminophen/Ascorbic Acid/Cloperastine/Dl-Methylephedrine/Guaifenesin/Pseudoephedrine
106	Acetaminophen/Ascorbic Acid/Dextromethorphan/Dl-Methylephedrine/Guaifenesin
107	Acetaminophen/Ascorbic Acid/Ethenzamide/Riboflavin/갈근탕
108	Acetaminophen/Ascorbic Acid/Riboflavin/갈근탕
109	Acetaminophen/Asiasarum root/Caffeine/Chlorpheniramine/Cinnamon Bark/Ephedra Herb/Ginger/Glycyrrhiza/Peony/Pinellia Tuber/Pseudoephedrine/Schisandra Fruit
110	Acetaminophen/Asiasarum root/Caffeine/Chlorpheniramine/Cinnamon Bark/Ephedra Herb/Ginger/Glycyrrhiza/Peony/Pinellia Tuber/Schisandra Fruit
111	Acetaminophen/Asiasarum root/Caffeine/Chlorpheniramine/Cinnamon Bark/Ephedra Herb/Ginger/Glycyrrhiza/Peony/Pinellia Tuber/Schisandra Fruit/소청룡탕
112	Acetaminophen/Asiasarum root/Caffeine/Chlorpheniramine/Cinnamon Bark/Ephedra Herb/Ginger/Glycyrrhiza/Peony/Pinellia Tuber/Schisandra Fruit/Tipepidine/이상수침
113	Acetaminophen/Asiasarum root/Chlorpheniramine/Cinnamon Bark/Ephedra Herb/Ginger/Glycyrrhiza/Peony/Pinellia Tuber/Schisandra Fruit
114	Acetaminophen/Aspirin/Caffeine
115	Acetaminophen/Benzoate/Guaifenesin/Oxomemazine
116	Acetaminophen/Brompheniramine/Dextromethorphan/Guaifenesin
117	Acetaminophen/Brompheniramine/Dextromethorphan/Guaifenesin/Pseudoephedrine
118	Acetaminophen/Brompheniramine/Pseudoephedrine
119	Acetaminophen/Brompheniramine/Pseudoephedrine/Riboflavin
120	Acetaminophen/Caffeine
121	Acetaminophen/Caffeine/갈근탕
122	Acetaminophen/Caffeine/Carbinoxamine/Cinnamon Bark/Dextromethorphan/Ephedra Herb/Ginger/Glycyrrhiza/Guaiacolsulfonate/Jujube/Peony/Pueraria/Riboflavin/Thiamine
123	Acetaminophen/Caffeine/Carbinoxamine/Dextromethorphan/Dl-Methylephedrine/Guaifenesin/Riboflavin/Thiamine
124	Acetaminophen/Caffeine/Chlorpheniramine
125	Acetaminophen/Caffeine/Chlorpheniramine/Cinnamon Bark/Dl-Methylephedrine/Noscapine/Oriental Bezoar/Polygala root
126	Acetaminophen/Caffeine/Chlorpheniramine/Cinnamon Bark/Dl-Methylephedrine/Noscapine/Polygala root
127	Acetaminophen/Caffeine/Chlorpheniramine/Cinnamon Bark/Ephedra Herb/Ginger/Glycyrrhiza/Jujube/Peony/Pueraria/갈근탕
128	Acetaminophen/Caffeine/Chlorpheniramine/Citrus Unshiu/Cyperus/Dl-Methylephedrine/Ethenzamide/Ginger/Glycyrrhiza/Perilla
129	Acetaminophen/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Glycyrrhiza/Platycodon/Riboflavin/Thiamine
130	Acetaminophen/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Guaifenesin/Pseudoephedrine
131	Acetaminophen/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Riboflavin/Serratiopeptidase/Thiamine
132	Acetaminophen/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Serratiopeptidase
133	Acetaminophen/Caffeine/Chlorpheniramine/Cloperastine/Serratiopeptidase/Thiamine/갈근탕
134	Acetaminophen/Caffeine/Chlorpheniramine/Dextromethorphan/갈근탕
135	Acetaminophen/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Ethenzamide
136	Acetaminophen/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Ethenzamide/향소산
137	Acetaminophen/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Ethenzamide/Fursultiamine/Riboflavin
138	Acetaminophen/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Ethenzamide/Guaifenesin/Noscapine/Thiamine
139	Acetaminophen/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Ethenzamide/Riboflavin/Thiamine
140	Acetaminophen/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Fursultiamine/Riboflavin
141	Acetaminophen/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Glycyrrhiza/Guaiacolsulfonate/Platycodon/Riboflavin/Thiamine
142	Acetaminophen/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Glycyrrhiza/Guaifenesin/Platycodon/Riboflavin/Thiamine
143	Acetaminophen/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Glycyrrhiza/Guaifenesin/Thiamine
144	Acetaminophen/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Glycyrrhiza/Magnesium Aluminometasilicate/Platycodon/Thiamine
145	Acetaminophen/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Glycyrrhiza/Riboflavin/Thiamine
146	Acetaminophen/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Guaiacolsulfonate
147	Acetaminophen/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Guaifenesin
148	Acetaminophen/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Guaifenesin/Ibuprofen
149	Acetaminophen/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Riboflavin/Thiamine
150	Acetaminophen/Caffeine/Chlorpheniramine/Dextromethorphan/Glycyrrhiza/Guaifenesin/Lactose Monohydrate/Pseudoephedrine/Riboflavin/Thiamine/백삼
151	Acetaminophen/Caffeine/Chlorpheniramine/Dextromethorphan/Guaiacolsulfonate/갈근탕
152	Acetaminophen/Caffeine/Chlorpheniramine/Dextromethorphan/Guaifenesin/소청룡탕
153	Acetaminophen/Caffeine/Chlorpheniramine/Dextromethorphan/Guaifenesin/Pseudoephedrine
154	Acetaminophen/Caffeine/Chlorpheniramine/Dextromethorphan/Guaifenesin/Riboflavin/Thiamine/갈근탕
155	Acetaminophen/Caffeine/Chlorpheniramine/Dl-Methylephedrine
156	Acetaminophen/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Ethenzamide
157	Acetaminophen/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Ethenzamide/Noscapine
158	Acetaminophen/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Ethenzamide/Noscapine/Riboflavin
159	Acetaminophen/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Guaifenesin
160	Acetaminophen/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Guaifenesin/Pentoxyverine
161	Acetaminophen/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Guaifenesin/Pentoxyverine/Pseudoephedrine
162	Acetaminophen/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Guaifenesin/Phenylephrine
163	Acetaminophen/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Guaifenesin/Pseudoephedrine
164	Acetaminophen/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Guaifenesin/Riboflavin/Thiamine
165	Acetaminophen/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Guaifenesin/Tipepidine
166	Acetaminophen/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Tipepidine
167	Acetaminophen/Caffeine/Chlorpheniramine/Ephedrine/Guaifenesin
168	Acetaminophen/Caffeine/Chlorpheniramine/Ethenzamide
169	Acetaminophen/Caffeine/Chlorpheniramine/Ethenzamide/Tipepidine
170	Acetaminophen/Caffeine/Chlorpheniramine/Guaifenesin/Pentoxyverine/Phenylephrine
171	Acetaminophen/Caffeine/Chlorpheniramine/Guaifenesin/Thiamine/Tipepidine/갈근탕
172	Acetaminophen/Caffeine/Chlorpheniramine/Liriope Tuber/Tipepidine
173	Acetaminophen/Caffeine/Chlorpheniramine/Phenylephrine
174	Acetaminophen/Caffeine/Chlorpheniramine/Pseudoephedrine
175	Acetaminophen/Caffeine/Chlorpheniramine/Pseudoephedrine/소청룡탕
176	Acetaminophen/Caffeine/Chlorpheniramine/Semi-Alkaline Protease/Thiamine/Tipepidine/갈근탕
177	Acetaminophen/Caffeine/Chlorpheniramine/Tipepidine/소청룡탕
178	Acetaminophen/Caffeine/Cinnamon Bark/Dl-Chlorpheniramine/Dl-Methylephedrine/Oriental Bezoar/Polygala root
179	Acetaminophen/Caffeine/Cinnamon Bark/Ephedra Herb/Ginger/Glycyrrhiza/Jujube/Peony/Pueraria
180	Acetaminophen/Caffeine/Cloperastine/Dl-Chlorpheniramine/Dl-Methylephedrine/Serratiopeptidase
181	Acetaminophen/Caffeine/D-Chlorpheniramine/Lysozyme/Pseudoephedrine
182	Acetaminophen/Caffeine/Dextromethorphan/Pseudoephedrine
183	Acetaminophen/Caffeine/Dl-Chlorpheniramine/Guaifenesin/Pseudoephedrine
184	Acetaminophen/Caffeine/Dl-Methylephedrine/Guaifenesin
185	Acetaminophen/Caffeine/Dl-Methylephedrine/Guaifenesin/Pentoxyverine
186	Acetaminophen/Caffeine/Dl-Methylephedrine/Guaifenesin/Pentoxyverine/Pseudoephedrine
187	Acetaminophen/Caffeine/Dl-Methylephedrine/Guaifenesin/Phenylephrine
188	Acetaminophen/Caffeine/Dl-Methylephedrine/Guaifenesin/Pseudoephedrine/Triprolidine
189	Acetaminophen/Caffeine/Ephedrine
190	Acetaminophen/Caffeine/Ephedrine/Riboflavin/Thiamine
191	Acetaminophen/Caffeine/Ephedrine/Thiamine
192	Acetaminophen/Caffeine/Ethenzamide
193	Acetaminophen/Caffeine/Ethenzamide/Glycyrrhiza/Peony
194	Acetaminophen/Caffeine/Ethenzamide/Magnesium Aluminometasilicate
195	Acetaminophen/Caffeine/Fursultiamine
196	Acetaminophen/Caffeine/Isopropylantipyrine
197	Acetaminophen/Caffeine/Magnesium Oxide/Thiamine
198	Acetaminophen/Caffeine/Pseudoephedrine
199	Acetaminophen/Caffeine/Pyrilamine
200	Acetaminophen/Carbinoxamine/Dextromethorphan/Guaifenesin/Pseudoephedrine
201	Acetaminophen/Chlorpheniramine/소청룡탕
202	Acetaminophen/Chlorpheniramine/향소산
203	Acetaminophen/Chlorpheniramine/Cinnamon Bark/Cloperastine/Glycyrrhiza/Guaifenesin/Platycodon/Pseudoephedrine/Riboflavin/Thiamine
204	Acetaminophen/Chlorpheniramine/Cinnamon Bark/Dextromethorphan/Dl-Methylephedrine/Glycyrrhiza/Guaifenesin/Platycodon/Riboflavin/Thiamine
205	Acetaminophen/Chlorpheniramine/Cinnamon Bark/Dextromethorphan/Dl-Methylephedrine/Pseudoephedrine
206	Acetaminophen/Chlorpheniramine/Cloperastine
207	Acetaminophen/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Guaifenesin
208	Acetaminophen/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Guaifenesin/Pseudoephedrine
209	Acetaminophen/Chlorpheniramine/Cloperastine/Guaifenesin/Phenylephrine
210	Acetaminophen/Chlorpheniramine/Cloperastine/Guaifenesin/Pseudoephedrine
211	Acetaminophen/Chlorpheniramine/Cloperastine/Guaifenesin/Riboflavin
212	Acetaminophen/Chlorpheniramine/Cloperastine/Pseudoephedrine
213	Acetaminophen/Chlorpheniramine/Coptis/Dextromethorphan/Ethenzamide/Guaiacolsulfonate/Platycodon
214	Acetaminophen/Chlorpheniramine/Coptis/Dextromethorphan/Ethenzamide/Guaifenesin/Platycodon
215	Acetaminophen/Chlorpheniramine/Coptis/Dextromethorphan/Ethenzamide/Platycodon
216	Acetaminophen/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine
217	Acetaminophen/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Guaifenesin
218	Acetaminophen/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Guaifenesin/Noscapine/Pseudoephedrine
219	Acetaminophen/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Guaifenesin/Pseudoephedrine
220	Acetaminophen/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Guaifenesin/Pseudoephedrine/Riboflavin
221	Acetaminophen/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Guaifenesin/Pseudoephedrine/Riboflavin/Thiamine
222	Acetaminophen/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Guaifenesin/Riboflavin/Thiamine
223	Acetaminophen/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Pseudoephedrine
224	Acetaminophen/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Riboflavin
225	Acetaminophen/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Riboflavin/Thiamine/향소산
226	Acetaminophen/Chlorpheniramine/Dextromethorphan/Guaifenesin
227	Acetaminophen/Chlorpheniramine/Dextromethorphan/Guaifenesin/Noscapine
228	Acetaminophen/Chlorpheniramine/Dextromethorphan/Guaifenesin/Pseudoephedrine
229	Acetaminophen/Chlorpheniramine/Dextromethorphan/Pseudoephedrine
230	Acetaminophen/Chlorpheniramine/Dextromethorphan/Pseudoephedrine/갈근탕
231	Acetaminophen/Chlorpheniramine/Dl-Methylephedrine/Guaifenesin/Pseudoephedrine
232	Acetaminophen/Chlorpheniramine/Dl-Methylephedrine/Guaifenesin/Pseudoephedrine/Tipepidine
233	Acetaminophen/Chlorpheniramine/Dl-Methylephedrine/Guaifenesin/Tipepidine
234	Acetaminophen/Chlorpheniramine/Dl-Methylephedrine/Phenylephrine
235	Acetaminophen/Chlorpheniramine/Dl-Methylephedrine/Pseudoephedrine
236	Acetaminophen/Chlorpheniramine/Dl-Methylephedrine/Pseudoephedrine/Tipepidine
237	Acetaminophen/Chlorpheniramine/Dl-Methylephedrine/Salicylamide
238	Acetaminophen/Chlorpheniramine/Guaifenesin/Pseudoephedrine
239	Acetaminophen/Chlorpheniramine/Guaifenesin/Pseudoephedrine/Tipepidine
240	Acetaminophen/Chlorpheniramine/Phenylephrine
241	Acetaminophen/Chlorpheniramine/Phenylephrine/Pseudoephedrine
242	Acetaminophen/Chlorpheniramine/Pseudoephedrine
243	Acetaminophen/Chlorzoxazone
244	Acetaminophen/Cinnamon Bark/Ephedra Herb/Ginger/Glycyrrhiza/Jujube/Peony/Pueraria
245	Acetaminophen/Cinnamon Bark/Ginger/Glycyrrhiza/Jujube/Peony
246	Acetaminophen/Cloperastine/Dextromethorphan/Dl-Methylephedrine/Guaifenesin
247	Acetaminophen/Cloperastine/Dl-Methylephedrine/Guaifenesin
248	Acetaminophen/Cloperastine/Dl-Methylephedrine/Guaifenesin/Noscapine/Pseudoephedrine
249	Acetaminophen/Cloperastine/Noscapine
250	Acetaminophen/Codeine/Ibuprofen
251	Acetaminophen/D-Chlorpheniramine/Dextromethorphan/Guaifenesin/Pseudoephedrine/Riboflavin/Thiamine
252	Acetaminophen/D-Chlorpheniramine/Dl-Methylephedrine/Pseudoephedrine
253	Acetaminophen/Dextromethorphan/Diphenhydramine/Dl-Methylephedrine/Guaifenesin
254	Acetaminophen/Dextromethorphan/Diphenhydramine/Dl-Methylephedrine/Guaifenesin/Phenylephrine
255	Acetaminophen/Dextromethorphan/Diphenhydramine/Dl-Methylephedrine/Guaifenesin/Pseudoephedrine
256	Acetaminophen/Dextromethorphan/Diphenhydramine/Dl-Methylephedrine/Pseudoephedrine
257	Acetaminophen/Dextromethorphan/Diphenhydramine/Guaifenesin/Phenylephrine
258	Acetaminophen/Dextromethorphan/Diphenhydramine/Guaifenesin/Pseudoephedrine
259	Acetaminophen/Dextromethorphan/Diphenhydramine/Phenylephrine
260	Acetaminophen/Dextromethorphan/Dl-Methylephedrine/Glycyrrhiza/Guaifenesin/Platycodon
261	Acetaminophen/Dextromethorphan/Dl-Methylephedrine/Guaifenesin
262	Acetaminophen/Dextromethorphan/Dl-Methylephedrine/Guaifenesin/Noscapine
263	Acetaminophen/Dextromethorphan/Dl-Methylephedrine/Guaifenesin/Pseudoephedrine/Triprolidine
264	Acetaminophen/Dextromethorphan/Dl-Methylephedrine/Pseudoephedrine/Triprolidine
265	Acetaminophen/Dextromethorphan/Doxylamine/Guaifenesin/Phenylephrine
266	Acetaminophen/Dextromethorphan/Doxylamine/Guaifenesin/Pseudoephedrine
267	Acetaminophen/Dextromethorphan/Ephedrine/Guaifenesin
268	Acetaminophen/Dextromethorphan/Guaiacolsulfonate/소청룡탕
269	Acetaminophen/Dextromethorphan/Guaifenesin
270	Acetaminophen/Dextromethorphan/Guaifenesin/Noscapine/Triprolidine
271	Acetaminophen/Dextromethorphan/Guaifenesin/Phenylephrine
272	Acetaminophen/Dextromethorphan/Guaifenesin/Pseudoephedrine
273	Acetaminophen/Dextromethorphan/Phenylephrine
274	Acetaminophen/Dextromethorphan/Pseudoephedrine
275	Acetaminophen/Dichloralphenazone/Isometheptene
276	Acetaminophen/Diphenhydramine
