ing_form_id	ing_name_eng	ing_name_kr	form	desc_id	note	ing_id_id
16	길초근·말토덱스트린·무수콜로이드성이산화규소혼합물(75:24.8:0.2)/Hop·Maltodextrin·Silica,Colloidal Anhydrous Mixture(70:29.8:0.2)	길초근·말토덱스트린·무수콜로이드성이산화규소혼합물(75:24.8:0.2)/Hop·Maltodextrin·Silica,Colloidal Anhydrous Mixture(70:29.8:0.2)	내복제/정제, 저작정			15
17	다음의 혈청군에 대한 디프테리아톡소이드와 접합된 수막구균 혈청형 A 다당류, 접합단백질용 균주 C.Diphtheriae/다음의 혈청군에 대한 디프테리아톡소이드와 접합된 수막구균 혈청형 C 다당류, 접합단백질용 균주 C.Diphtheriae/다음의 혈청군에 대한 디프테리아톡소이드와 접합된 수막구균 혈청형 W-135 다당류, 접합단백질용 균주 C.Diphtheriae/다음의 혈청군에 대한 디프테리아톡소이드와 접합된 수막구균 혈청형 Y 다당류, 접합단백질용 균주 C.Diphtheriae	다음의 혈청군에 대한 디프테리아톡소이드와 접합된 수막구균 혈청형 A 다당류, 접합단백질용 균주 C.Diphtheriae/다음의 혈청군에 대한 디프테리아톡소이드와 접합된 수막구균 혈청형 C 다당류, 접합단백질용 균주 C.Diphtheriae/다음의 혈청군에 대한 디프테리아톡소이드와 접합된 수막구균 혈청형 W-135 다당류, 접합단백질용 균주 C.Diphtheriae/다음의 혈청군에 대한 디프테리아톡소이드와 접합된 수막구균 혈청형 Y 다당류, 접합단백질용 균주 C.Diphtheriae	주사제/주사제			16
18	당귀/목과/방풍/속단/오가피/우슬/위령선/육계/진교/천궁/천마/홍화	당귀/목과/방풍/속단/오가피/우슬/위령선/육계/진교/천궁/천마/홍화	내복제/정제, 저작정			17
19	당귀작약산	당귀작약산	내복제/과립제, 세립			18
20	동종제대혈유래중간엽줄기세포	동종제대혈유래중간엽줄기세포	주사제/주사제			19
21	메이세라제/사낙타제/푸록타제/Olipase 2S/Pancreatic Digestive Enzyme	메이세라제/사낙타제/푸록타제/오리파제 2S/췌장성소화효소	내복제/장용캡슐제			20
22	방풍통성산	방풍통성산	내복제/정제, 저작정			21
23	의료용 기재등의 소독멸균	의료용 기재등의 소독멸균	기타/기타제형			22
24	자가유래 피부섬유아세포	자가유래 피부섬유아세포	주사제/주사제			23
25	자가유래수지상세포	자가유래수지상세포	주사제/주사제			24
26	자가지방조직유래 최소조작 지방세포	자가지방조직유래 최소조작 지방세포	주사제/주사제			25
27	자기유래 피부각질세포	자기유래 피부각질세포	외용제/스폰지 및 드레싱			26
28	자기유래 피부각질세포	자기유래 피부각질세포	외용제/현탁제, 현탁액용정제, 현탁액용산제			26
29	Abacavir	아바카비어	내복제/정제, 저작정	1		27
30	Abacavir/Dolutegravir/Lamivudine	아바카비어/돌루테그라비르/라미부딘	내복제/정제, 저작정			28
31	Abacavir/Lamivudine	아바카비어/라미부딘	내복제/정제, 저작정			29
32	Abatacept	아바타셉트	주사제/주사제	2		30
33	Abciximab	압식시맙	주사제/주사제			31
34	Abiraterone	아비라테론	내복제/정제, 저작정	3		32
35	Absinthi Herba/Boldine/Chelidonine/Choline Orotate/Curcumine/Cyanocobalamine/Cynarine/Cysteine/Folic Acid/Frangula/Khellin/Nicotinamide/Ox Bile/Rhei rhizoma	아브신트/볼도/백굴/콜린오로트산/쿠르쿠마/시아노코발라민/신나라/시스테인/폴산/프랑굴라/암미/니코틴산아미드/우담즙/대황	내복제/정제, 저작정			33
36	Absorbable Collagen Hemostat	흡수성콜라겐헤모스태트	외용제/스폰지 및 드레싱			34
37	Acamprosate	아캄프로세이트	내복제/장용정제	4		35
38	Acarbose	아카르보스	내복제/정제, 저작정	5		36
39	Acebrophylline	아세브로필린	내복제/경질캡슐제			37
40	Acebrophylline	아세브로필린	내복제/서방형정제			37
41	Aceclofenac	아세클로페낙	내복제/경질캡슐제	6		38
42	Aceclofenac	아세클로페낙	내복제/연질캡슐제	6		38
43	Aceclofenac	아세클로페낙	내복제/정제, 저작정	6		38
44	Aceclofenac	아세클로페낙	내복제/서방형정제	6		38
45	Aceglutamide Aluminum/Aluminum Hydroxide/Magnesium Hydroxide/Simethicone	아세글루타미드알루미늄/수산화알루미늄/수산화마그네슘/시메티콘	내복제/현탁제, 현탁액용정제, 현탁액용산제			39
46	Acepifylline	아세피필린	내복제/정제, 저작정			40
47	Acetaminophen	아세트아미노펜	내복제/경질캡슐제	7		41
48	Acetaminophen	아세트아미노펜	내복제/연질캡슐제	7		41
49	Acetaminophen	아세트아미노펜	내복제/현탁제, 현탁액용정제, 현탁액용산제	7		41
50	Acetaminophen	아세트아미노펜	내복제/시럽제, 건조시럽	7		41
51	Acetaminophen	아세트아미노펜	내복제/정제, 저작정	7		41
52	Acetaminophen	아세트아미노펜	내복제/서방형정제	7		41
53	Acetaminophen	아세트아미노펜	주사제/주사제	7		41
54	Acetaminophen/갈근탕	아세트아미노펜/갈근탕	내복제/액제			42
55	Acetaminophen/갈근탕	아세트아미노펜/갈근탕	내복제/정제, 저작정			42
56	Acetaminophen/진광탕	아세트아미노펜/진광탕	내복제/액제			43
57	Acetaminophen/Allylisopropylacetylurea/Caffeine/Ibuprofen	아세트아미노펜/알릴이소프로필아세틸우레아/카페인/이부프로펜	내복제/정제, 저작정			44
58	Acetaminophen/Ascorbic Acid/Benfotiamine/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Ethenzamide/Glycyrrhiza/Platycodon/Riboflavin	아세트아미노펜/아스코르브산/벤포티아민/카페인/클로르페니라민/클로페라스틴/DL-메틸에페드린/에텐자미드/감초/길경/리보플라빈	내복제/정제, 저작정			45
59	Acetaminophen/Ascorbic Acid/Benfotiamine/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Guaifenesin/Riboflavin	아세트아미노펜/아스코르브산/벤포티아민/카페인/클로르페니라민/DL-메틸에페드린/구아이페네신/리보플라빈	내복제/경질캡슐제			46
60	Acetaminophen/Ascorbic Acid/Benfotiamine/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Guaifenesin/Riboflavin	아세트아미노펜/아스코르브산/벤포티아민/카페인/클로르페니라민/DL-메틸에페드린/구아이페네신/리보플라빈	내복제/정제, 저작정			46
61	Acetaminophen/Ascorbic Acid/Bupleurum/Caffeine/D-Chlorpheniramine/Ginseng/Glycyrrhiza/Jujube/Pinellia Tuber/Scutellaria/Tipepidine/Zingiberis Rhizoma	아세트아미노펜/아스코르브산/시호/카페인/D-클로르페니라민/인삼/감초/대추/반하/황금/티페피딘/건강	내복제/경질캡슐제			47
62	Acetaminophen/Ascorbic Acid/Caffeine	아세트아미노펜/아스코르브산/카페인	내복제/정제, 저작정			48
63	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cinnamon Bark/Dl-Methylephedrine/Glycyrrhiza/Guaifenesin/Platycodon/Riboflavin/Thiamine/Tipepidine	아세트아미노펜/아스코르브산/카페인/클로르페니라민/계피/DL-메틸에페드린/감초/구아이페네신/길경/리보플라빈/티아민/티페피딘	내복제/경질캡슐제			49
64	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine	아세트아미노펜/아스코르브산/카페인/클로르페니라민/클로페라스틴/DL-메틸에페드린	내복제/경질캡슐제			50
65	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Glycyrrhiza/Oriental Bezoar/Platycodon	아세트아미노펜/아스코르브산/카페인/클로르페니라민/클로페라스틴/DL-메틸에페드린/감초/우황/길경	내복제/경질캡슐제			51
66	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Glycyrrhiza/Oriental Bezoar/Platycodon/Riboflavin/Serratiopeptidase/Thiamine	아세트아미노펜/아스코르브산/카페인/클로르페니라민/클로페라스틴/DL-메틸에페드린/감초/우황/길경/리보플라빈/세라티오펩티다제/티아민	내복제/장용캡슐제			52
67	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Guaifenesin	아세트아미노펜/아스코르브산/카페인/클로르페니라민/클로페라스틴/DL-메틸에페드린/구아이페네신	내복제/경질캡슐제			53
68	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Pseudoephedrine	아세트아미노펜/아스코르브산/카페인/클로르페니라민/클로페라스틴/DL-메틸에페드린/슈도에페드린	내복제/정제, 저작정			54
69	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Pseudoephedrine/Riboflavin/Thiamine	아세트아미노펜/아스코르브산/카페인/클로르페니라민/클로페라스틴/DL-메틸에페드린/슈도에페드린/리보플라빈/티아민	내복제/경질캡슐제			55
70	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Riboflavin/Thiamine	아세트아미노펜/아스코르브산/카페인/클로르페니라민/클로페라스틴/DL-메틸에페드린/리보플라빈/티아민	내복제/경질캡슐제			56
71	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Riboflavin/Thiamine/갈근탕	아세트아미노펜/아스코르브산/카페인/클로르페니라민/클로페라스틴/DL-메틸에페드린/리보플라빈/티아민/갈근탕	내복제/경질캡슐제			57
72	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Riboflavin/Thiamine/향소산	아세트아미노펜/아스코르브산/카페인/클로르페니라민/클로페라스틴/DL-메틸에페드린/리보플라빈/티아민/향소산	내복제/경질캡슐제			58
73	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Riboflavin/Thiamine/향소산	아세트아미노펜/아스코르브산/카페인/클로르페니라민/클로페라스틴/DL-메틸에페드린/리보플라빈/티아민/향소산	내복제/과립제, 세립			58
74	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Guaifenesin/Riboflavin/Thiamine/갈근탕	아세트아미노펜/아스코르브산/카페인/클로르페니라민/클로페라스틴/구아이페네신/리보플라빈/티아민/갈근탕	내복제/경질캡슐제			59
75	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Phenylephrine/Riboflavin/Thiamine/갈근탕	아세트아미노펜/아스코르브산/카페인/클로르페니라민/클로페라스틴/페닐레프린/리보플라빈/티아민/갈근탕	내복제/경질캡슐제			60
76	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Pseudoephedrine/Riboflavin/Thiamine/갈근탕	아세트아미노펜/아스코르브산/카페인/클로르페니라민/클로페라스틴/슈도에페드린/리보플라빈/티아민/갈근탕	내복제/경질캡슐제			61
77	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine	아세트아미노펜/아스코르브산/카페인/클로르페니라민/덱스트로메토르판/DL-메틸에페드린	내복제/과립제, 세립			62
78	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Guaiacolsulfonate/Riboflavin/Thiamine	아세트아미노펜/아스코르브산/카페인/클로르페니라민/덱스트로메토르판/DL-메틸에페드린/구아야콜설폰산/리보플라빈/티아민	내복제/경질캡슐제			63
79	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Guaifenesin/Pseudoephedrine/Riboflavin/Thiamine	아세트아미노펜/아스코르브산/카페인/클로르페니라민/덱스트로메토르판/DL-메틸에페드린/구아이페네신/슈도에페드린/리보플라빈/티아민	내복제/정제, 저작정			64
80	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Guaifenesin/Riboflavin/Thiamine	아세트아미노펜/아스코르브산/카페인/클로르페니라민/덱스트로메토르판/DL-메틸에페드린/구아이페네신/리보플라빈/티아민	내복제/정제, 저작정			65
81	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Pseudoephedrine/Riboflavin/Thiamine	아세트아미노펜/아스코르브산/카페인/클로르페니라민/덱스트로메토르판/DL-메틸에페드린/슈도에페드린/리보플라빈/티아민	내복제/정제, 저작정			66
82	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dextromethorphan/Ginseng/Glycyrrhiza/Guaifenesin/Pseudoephedrine/Riboflavin/Thiamine	아세트아미노펜/아스코르브산/카페인/클로르페니라민/덱스트로메토르판/인삼/감초/구아이페네신/슈도에페드린/리보플라빈/티아민	내복제/경질캡슐제			67
83	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dextromethorphan/Glycyrrhiza/Guaifenesin/Pseudoephedrine/Riboflavin/Thiamine	아세트아미노펜/아스코르브산/카페인/클로르페니라민/덱스트로메토르판/감초/구아이페네신/슈도에페드린/리보플라빈/티아민	내복제/경질캡슐제			68
84	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dextromethorphan/Guaiacolsulfonate/Pseudoephedrine/갈근탕	아세트아미노펜/아스코르브산/카페인/클로르페니라민/덱스트로메토르판/구아야콜설폰산/슈도에페드린/갈근탕	내복제/경질캡슐제			69
85	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dextromethorphan/Guaifenesin/Pseudoephedrine/갈근탕	아세트아미노펜/아스코르브산/카페인/클로르페니라민/덱스트로메토르판/구아이페네신/슈도에페드린/갈근탕	내복제/정제, 저작정			70
86	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dextromethorphan/Lysozyme/Pseudoephedrine/갈근탕	아세트아미노펜/아스코르브산/카페인/클로르페니라민/덱스트로메토르판/리소짐/슈도에페드린/갈근탕	내복제/정제, 저작정			71
87	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dl-Methylephedrine	아세트아미노펜/아스코르브산/카페인/클로르페니라민/DL-메틸에페드린	내복제/경질캡슐제			72
88	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Ethenzamide/Noscapine/Riboflavin/Thiamine	아세트아미노펜/아스코르브산/카페인/클로르페니라민/DL-메틸에페드린/에텐자미드/노스카핀/리보플라빈/티아민	내복제/경질캡슐제			73
89	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Ethenzamide/Riboflavin/Thiamine/Tipepidine/향소산	아세트아미노펜/아스코르브산/카페인/클로르페니라민/DL-메틸에페드린/에텐자미드/리보플라빈/티아민/티페피딘/향소산	내복제/경질캡슐제			74
90	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Glycyrrhiza/Guaifenesin/Platycodon/Riboflavin/Thiamine/Tipepidine	아세트아미노펜/아스코르브산/카페인/클로르페니라민/DL-메틸에페드린/감초/구아이페네신/길경/리보플라빈/티아민/티페피딘	내복제/경질캡슐제			75
91	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Guaiacolsulfonate/Riboflavin/Thiamine/Tipepidine	아세트아미노펜/아스코르브산/카페인/클로르페니라민/DL-메틸에페드린/구아야콜설폰산/리보플라빈/티아민/티페피딘	내복제/경질캡슐제			76
92	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Guaifenesin/Phenylephrine	아세트아미노펜/아스코르브산/카페인/클로르페니라민/DL-메틸에페드린/구아이페네신/페닐레프린	내복제/정제, 저작정			77
93	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Guaifenesin/Phenylephrine/Riboflavin	아세트아미노펜/아스코르브산/카페인/클로르페니라민/DL-메틸에페드린/구아이페네신/페닐레프린/리보플라빈	내복제/경질캡슐제			78
94	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Guaifenesin/Pentoxyverine/Phenylephrine	아세트아미노펜/아스코르브산/카페인/클로르페니라민/구아이페네신/펜톡시베린/페닐레프린	내복제/액제			79
95	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Phenylephrine	아세트아미노펜/아스코르브산/카페인/클로르페니라민/페닐레프린	내복제/정제, 저작정			80
96	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Pseudoephedrine	아세트아미노펜/아스코르브산/카페인/클로르페니라민/슈도에페드린	내복제/정제, 저작정			81
97	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Pseudoephedrine/Riboflavin/Thiamine	아세트아미노펜/아스코르브산/카페인/클로르페니라민/슈도에페드린/리보플라빈/티아민	내복제/정제, 저작정			82
98	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Pseudoephedrine/Riboflavin/Thiamine/소청룡탕	아세트아미노펜/아스코르브산/카페인/클로르페니라민/슈도에페드린/리보플라빈/티아민/소청룡탕	내복제/경질캡슐제			83
99	Acetaminophen/Ascorbic Acid/Caffeine/Cloperastine/D-Chlorpheniramine/Dl-Methylephedrine/Guaiacolsulfonate/Riboflavin/Thiamine	아세트아미노펜/아스코르브산/카페인/클로페라스틴/D-클로르페니라민/DL-메틸에페드린/구아야콜설폰산/리보플라빈/티아민	내복제/경질캡슐제			84
100	Acetaminophen/Ascorbic Acid/Caffeine/D-Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Guaiacolsulfonate/Riboflavin/Thiamine	아세트아미노펜/아스코르브산/카페인/D-클로르페니라민/덱스트로메토르판/DL-메틸에페드린/구아야콜설폰산/리보플라빈/티아민	내복제/경질캡슐제			85
101	Acetaminophen/Ascorbic Acid/Caffeine/Dextromethorphan/Pseudoephedrine/Riboflavin/Thiamine	아세트아미노펜/아스코르브산/카페인/덱스트로메토르판/슈도에페드린/리보플라빈/티아민	내복제/정제, 저작정			86
102	Acetaminophen/Ascorbic Acid/Caffeine/Dl-Methylephedrine/Guaifenesin	아세트아미노펜/아스코르브산/카페인/DL-메틸에페드린/구아이페네신	내복제/정제, 저작정			87
103	Acetaminophen/Ascorbic Acid/Caffeine/Ephedrine	아세트아미노펜/아스코르브산/카페인/에페드린	내복제/정제, 저작정			88
104	Acetaminophen/Ascorbic Acid/Caffeine/Ephedrine/Thiamine	아세트아미노펜/아스코르브산/카페인/에페드린/티아민	내복제/정제, 저작정			89
105	Acetaminophen/Ascorbic Acid/Caffeine/Guaifenesin/Pseudoephedrine/Riboflavin/Thiamine	아세트아미노펜/아스코르브산/카페인/구아이페네신/슈도에페드린/리보플라빈/티아민	내복제/정제, 저작정			90
106	Acetaminophen/Ascorbic Acid/Caffeine/Riboflavin/갈근탕	아세트아미노펜/아스코르브산/카페인/리보플라빈/갈근탕	내복제/과립제, 세립			91
107	Acetaminophen/Ascorbic Acid/Caffeine/Riboflavin/Thiamine/갈근탕	아세트아미노펜/아스코르브산/카페인/리보플라빈/티아민/갈근탕	내복제/경질캡슐제			92
108	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Cloperastine/Guaifenesin/Riboflavin/소청룡탕	아세트아미노펜/아스코르브산/클로르페니라민/클로페라스틴/구아이페네신/리보플라빈/소청룡탕	내복제/경질캡슐제			93
109	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Cloperastine/Phenylephrine/Riboflavin/소청룡탕	아세트아미노펜/아스코르브산/클로르페니라민/클로페라스틴/페닐레프린/리보플라빈/소청룡탕	내복제/과립제, 세립			94
110	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine	아세트아미노펜/아스코르브산/클로르페니라민/덱스트로메토르판/DL-메틸에페드린	내복제/과립제, 세립			95
111	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine	아세트아미노펜/아스코르브산/클로르페니라민/덱스트로메토르판/DL-메틸에페드린	내복제/산제			95
112	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Ethenzamide/Thiamine	아세트아미노펜/아스코르브산/클로르페니라민/덱스트로메토르판/DL-메틸에페드린/에텐자미드/티아민	내복제/산제			96
113	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Guaifenesin/Pseudoephedrine/Riboflavin/Thiamine	아세트아미노펜/아스코르브산/클로르페니라민/덱스트로메토르판/DL-메틸에페드린/구아이페네신/슈도에페드린/리보플라빈/티아민	내복제/경질캡슐제			97
114	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Riboflavin/Thiamine	아세트아미노펜/아스코르브산/클로르페니라민/덱스트로메토르판/DL-메틸에페드린/리보플라빈/티아민	내복제/정제, 저작정			98
115	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Dextromethorphan/Guaiacolsulfonate/Lysozyme/Pseudoephedrine/갈근탕	아세트아미노펜/아스코르브산/클로르페니라민/덱스트로메토르판/구아야콜설폰산/리소짐/슈도에페드린/갈근탕	내복제/과립제, 세립			99
116	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Dextromethorphan/Guaifenesin/Pseudoephedrine	아세트아미노펜/아스코르브산/클로르페니라민/덱스트로메토르판/구아이페네신/슈도에페드린	내복제/경질캡슐제			100
117	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Dextromethorphan/Guaifenesin/Pseudoephedrine/Riboflavin/Thiamine/갈근탕	아세트아미노펜/아스코르브산/클로르페니라민/덱스트로메토르판/구아이페네신/슈도에페드린/리보플라빈/티아민/갈근탕	내복제/경질캡슐제			101
118	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Dextromethorphan/Pseudoephedrine/Riboflavin/Thiamine	아세트아미노펜/아스코르브산/클로르페니라민/덱스트로메토르판/슈도에페드린/리보플라빈/티아민	내복제/경질캡슐제			102
119	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Pseudoephedrine	아세트아미노펜/아스코르브산/클로르페니라민/슈도에페드린	내복제/경질캡슐제			103
120	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Pseudoephedrine	아세트아미노펜/아스코르브산/클로르페니라민/슈도에페드린	내복제/정제, 저작정			103
121	Acetaminophen/Ascorbic Acid/Cloperastine/Dl-Methylephedrine/Guaiacolsulfonate/Noscapine/Platycodon/Riboflavin/Thiamine	아세트아미노펜/아스코르브산/클로페라스틴/DL-메틸에페드린/구아야콜설폰산/노스카핀/길경/리보플라빈/티아민	내복제/경질캡슐제			104
122	Acetaminophen/Ascorbic Acid/Cloperastine/Dl-Methylephedrine/Guaifenesin/Pseudoephedrine	아세트아미노펜/아스코르브산/클로페라스틴/DL-메틸에페드린/구아이페네신/슈도에페드린	내복제/정제, 저작정			105
123	Acetaminophen/Ascorbic Acid/Dextromethorphan/Dl-Methylephedrine/Guaifenesin	아세트아미노펜/아스코르브산/덱스트로메토르판/DL-메틸에페드린/구아이페네신	내복제/경질캡슐제			106
124	Acetaminophen/Ascorbic Acid/Ethenzamide/Riboflavin/갈근탕	아세트아미노펜/아스코르브산/에텐자미드/리보플라빈/갈근탕	내복제/과립제, 세립			107
125	Acetaminophen/Ascorbic Acid/Riboflavin/갈근탕	아세트아미노펜/아스코르브산/리보플라빈/갈근탕	내복제/과립제, 세립			108
126	Acetaminophen/Ascorbic Acid/Riboflavin/갈근탕	아세트아미노펜/아스코르브산/리보플라빈/갈근탕	내복제/정제, 저작정			108
127	Acetaminophen/Asiasarum root/Caffeine/Chlorpheniramine/Cinnamon Bark/Ephedra Herb/Ginger/Glycyrrhiza/Peony/Pinellia Tuber/Pseudoephedrine/Schisandra Fruit	아세트아미노펜/세신/카페인/클로르페니라민/계피/마황/건강/감초/작약/반하/슈도에페드린/오미자	내복제/경질캡슐제			109
128	Acetaminophen/Asiasarum root/Caffeine/Chlorpheniramine/Cinnamon Bark/Ephedra Herb/Ginger/Glycyrrhiza/Peony/Pinellia Tuber/Schisandra Fruit	아세트아미노펜/세신/카페인/클로르페니라민/계피/마황/건강/감초/작약/반하/오미자	내복제/액제			110
129	Acetaminophen/Asiasarum root/Caffeine/Chlorpheniramine/Cinnamon Bark/Ephedra Herb/Ginger/Glycyrrhiza/Peony/Pinellia Tuber/Schisandra Fruit/소청룡탕	아세트아미노펜/세신/카페인/클로르페니라민/계피/마황/건강/감초/작약/반하/오미자/소청룡탕	내복제/액제			111
130	Acetaminophen/Asiasarum root/Caffeine/Chlorpheniramine/Cinnamon Bark/Ephedra Herb/Ginger/Glycyrrhiza/Peony/Pinellia Tuber/Schisandra Fruit/Tipepidine/이상수침	아세트아미노펜/세신/카페인/클로르페니라민/계피/마황/건강/감초/작약/반하/오미자/티페피딘/이상수침	내복제/경질캡슐제			112
131	Acetaminophen/Asiasarum root/Chlorpheniramine/Cinnamon Bark/Ephedra Herb/Ginger/Glycyrrhiza/Peony/Pinellia Tuber/Schisandra Fruit	아세트아미노펜/세신/클로르페니라민/계피/마황/건강/감초/작약/반하/오미자	내복제/액제			113
132	Acetaminophen/Aspirin/Caffeine	아세트아미노펜/아스피린/카페인	내복제/정제, 저작정			114
133	Acetaminophen/Benzoate/Guaifenesin/Oxomemazine	아세트아미노펜/벤조산/구아이페네신/옥소메마진	내복제/경질캡슐제			115
134	Acetaminophen/Brompheniramine/Dextromethorphan/Guaifenesin	아세트아미노펜/브롬페니라민/덱스트로메토르판/구아이페네신	내복제/연질캡슐제			116
