id	created	modified	code	is_rep	name_en	name_kr	rep_code	one_liner
177	2018-10-22 07:11:28.850155+00	2018-10-24 13:32:57.86355+00	A15.61	f	Tuberculous pleurisy without cavitation or unspeci	세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 흉막염	A15	
178	2018-10-22 07:11:28.853131+00	2018-10-24 13:32:58.477039+00	A15.7	f	Primary respiratory tuberculosis, confirmed bacter	세균학적 및 조직적으로 확인된 일차호흡기결핵	A15	
323	2018-10-22 07:11:29.235556+00	2018-10-24 13:32:58.784829+00	A30.2	f	Borderline tuberculoid leprosy	경계결핵모양나병	A30	
161	2018-10-22 07:11:28.80907+00	2018-10-24 13:33:00.012907+00	A15.10	f	Tuberculosis of lung with cavitation, confirmed by	배양만으로 확인된 공동이 있는 폐결핵	A15	
12382	2018-10-22 07:13:12.71529+00	2018-10-24 15:23:54.580292+00	O92.1	f	Cracked nipple associated with childbirth	출산과 관련된 갈라진 유두	O92	
10739	2018-10-22 07:13:02.271091+00	2018-10-30 05:16:07.539741+00	M86.5	f	Other chronic haematogenous osteomyelitis	기타 만성 혈행성 골수염	M86	
165	2018-10-22 07:11:28.818824+00	2018-10-24 13:32:53.869718+00	A15.21	f	Tuberculosis of lung without cavitation or unspeci	조직학적으로 확인된 공동이 없거나 상세불명의 폐결핵	A15	
12383	2018-10-22 07:13:12.717908+00	2018-10-24 15:23:54.887114+00	O92.2	f	Other and unspecified disorders of breast associat	출산과 관련된 유방의 기타 및 상세불명의 장애	O92	
12420	2018-10-22 07:13:12.817654+00	2018-10-24 15:24:06.25314+00	O99.8	f	Other specified diseases and conditions complicati	임신, 출산 및 산후기에 합병된 기타 명시된 질환 및 병태	O99	
12457	2018-10-22 07:13:15.906207+00	2018-10-24 15:24:17.312607+00	P03.0	f	Fetus and newborn affected by breech delivery and 	둔부태위분만 및 흡착분만에 의해 영향을 받은 태아 및 신생아	P03	
152	2018-10-22 07:11:28.786067+00	2019-02-12 06:42:17.294337+00	A09	t	Other gastroenteritis and colitis of infectious an	감염성 및 상세불명 기원의 기타 위장염 및 결장염	A09	
156	2018-10-22 07:11:28.796179+00	2019-02-12 06:42:51.522556+00	A15	t	Respiratory tuberculosis, bacteriologically and hi	세균학적 및 조직학적으로 확인된 호흡기결핵	A15	
141	2018-10-22 07:11:28.758526+00	2019-03-19 04:44:29.073055+00	A07.9	f	Protozoal intestinal disease, unspecified	상세불명의 원충성 장질환	A07	
143	2018-10-22 07:11:28.76344+00	2019-03-19 04:44:57.258073+00	A08.0	f	Rotaviral enteritis	로타바이러스장염	A08	
144	2018-10-22 07:11:28.765946+00	2019-03-19 04:45:09.823064+00	A08.1	f	Acute gastroenteropathy due to Norwalk agent	노워크병원체에 의한 급성 위장병증	A08	
145	2018-10-22 07:11:28.768267+00	2019-03-19 04:45:22.333651+00	A08.2	f	Adenoviral enteritis	아데노바이러스장염	A08	
146	2018-10-22 07:11:28.771416+00	2019-03-19 04:45:36.577863+00	A08.3	f	Other viral enteritis	기타 바이러스장염	A08	
147	2018-10-22 07:11:28.77384+00	2019-03-19 04:45:48.691348+00	A08.30	f	Sapoviral gastroenteritis	사포바이러스 위장염	A08	
148	2018-10-22 07:11:28.776429+00	2019-03-19 04:46:03.474166+00	A08.31	f	Astroviral gastroenteritis	아스트로바이러스 위장염	A08	
149	2018-10-22 07:11:28.778944+00	2019-03-19 04:46:15.145135+00	A08.38	f	Other viral enteritis	기타 바이러스장염	A08	
150	2018-10-22 07:11:28.781346+00	2019-03-19 04:46:28.083971+00	A08.4	f	Viral intestinal infection, unspecified	상세불명의 바이러스성 장감염	A08	
151	2018-10-22 07:11:28.783717+00	2019-03-19 04:46:41.489587+00	A08.5	f	Other specified intestinal infections	기타 명시된 장감염	A08	
153	2018-10-22 07:11:28.788506+00	2019-03-19 04:46:59.630625+00	A09.0	f	Other and unspecified gastroenteritis and colitis	감염성 기원의 기타 및 상세불명의 위장염 및 결장염	A09	
154	2018-10-22 07:11:28.791145+00	2019-03-19 04:47:11.7881+00	A09.9	f	Gastroenteritis and colitis of unspecified origin	상세불명 기원의 위장염 및 결장염	A09	
12503	2018-10-22 07:13:16.029823+00	2018-10-24 15:24:31.136587+00	P07.3	f	Other preterm infants	기타 조산아 : 임신후 28주 이상 37주(196일 이상 259일) 미만	P07	
186	2018-10-22 07:11:28.873134+00	2018-10-24 13:33:02.778181+00	A15.91	f	Respiratory tuberculosis unspecified without cavit	세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 상세불명의 호흡기결핵	A15	
188	2018-10-22 07:11:28.87817+00	2018-10-24 13:33:04.009493+00	A16.0	f	Tuberculosis of lung, bacteriologically and histol	세균학적 및 조직학적으로 음성인 폐결핵	A16	
189	2018-10-22 07:11:28.880701+00	2018-10-24 13:33:04.518846+00	A16.00	f	Tuberculosis of lung with cavitation, bacteriologi	세균학적 및 조직학적으로 음성인 공동이 있는 폐결핵	A16	
190	2018-10-22 07:11:28.883221+00	2018-10-24 13:33:04.931033+00	A16.01	f	Tuberculosis of lung without cavitation or unspeci	세균학적 및 조직학적으로 음성인 공동이 없거나 상세불명의 폐결핵	A16	
191	2018-10-22 07:11:28.885704+00	2018-10-24 13:33:05.250416+00	A16.1	f	Tuberculosis of lung, bacteriological and histolog	세균학적 및 조직학적 검사를 하지 않은 폐결핵	A16	
192	2018-10-22 07:11:28.888124+00	2018-10-24 13:33:05.53319+00	A16.10	f	Tuberculosis of lung with cavitation, bacteriologi	세균학적 및 조직학적 검사를 하지 않은 공동이 있는 폐결핵	A16	
193	2018-10-22 07:11:28.890633+00	2018-10-24 13:33:05.86809+00	A16.11	f	Tuberculosis of lung without cavitation or unspeci	세균학적 및 조직학적 검사를 하지 않은 공동이 없거나 상세불명의 폐결핵	A16	
194	2018-10-22 07:11:28.893075+00	2018-10-24 13:33:06.450628+00	A16.2	f	Tuberculosis of lung, without mention of bacteriol	세균학적 또는 조직학적 확인에 대한 언급이 없는 폐결핵	A16	
195	2018-10-22 07:11:28.895682+00	2018-10-24 13:33:06.771188+00	A16.20	f	Tuberculosis of lung with cavitation, without ment	세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 폐결핵	A16	
196	2018-10-22 07:11:28.89812+00	2018-10-24 13:33:07.07951+00	A16.21	f	Tuberculosis of lung without cavitation or unspeci	세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 폐결핵	A16	
197	2018-10-22 07:11:28.901023+00	2018-10-24 13:33:07.38686+00	A16.3	f	Tuberculosis of intrathoracic lymph nodes, without	세균학적 또는 조직학적 확인에 대한 언급이 없는 흉곽내림프절의 결핵	A16	
198	2018-10-22 07:11:28.903524+00	2018-10-24 13:33:07.693155+00	A16.30	f	Tuberculosis of intrathoracic lymph nodes with cav	세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 흉곽내림프절의 결핵	A16	
199	2018-10-22 07:11:28.906072+00	2018-10-24 13:33:08.001017+00	A16.31	f	Tuberculosis of intrathoracic lymph nodes without 	세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 흉곽내림프절의 결	A16	
200	2018-10-22 07:11:28.908492+00	2018-10-24 13:33:08.306672+00	A16.4	f	Tuberculosis of larynx, trachea and bronchus, with	세균학적 또는 조직학적 확인에 대한 언급이 없는 후두, 기관 및 기관지 결핵	A16	
201	2018-10-22 07:11:28.910934+00	2018-10-24 13:33:08.599924+00	A16.40	f	Tuberculosis of larynx with cavitation, trachea an	세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 후두, 기관 및 기관지 결핵	A16	
202	2018-10-22 07:11:28.913634+00	2018-10-24 13:33:08.922861+00	A16.41	f	Tuberculosis of larynx without cavitation or unspe	세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 후두, 기관 및 	A16	
204	2018-10-22 07:11:28.918805+00	2018-10-24 13:33:09.84453+00	A16.50	f	Tuberculous pleurisy with cavitation, without ment	세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 결핵성 흉막염	A16	
205	2018-10-22 07:11:28.921279+00	2018-10-24 13:33:10.151748+00	A16.51	f	Tuberculous pleurisy without cavitation or unspeci	세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 결핵성 흉막염	A16	
206	2018-10-22 07:11:28.923863+00	2018-10-24 13:33:10.458863+00	A16.7	f	Primary respiratory tuberculosis , without mention	세균학적 또는 조직학적 확인에 대한 언급이 없는 일차호흡기결핵	A16	
258	2018-10-22 07:11:29.055183+00	2018-10-24 13:33:11.072809+00	A19.0	f	Acute miliary tuberculosis of a single specified s	하나로 명시된 부위의 급성 좁쌀결핵	A19	
12507	2018-10-22 07:13:16.040016+00	2018-10-24 15:24:32.327585+00	P08	t	Disorders related to long gestation and high birth	장기임신 및 고체중출산에 관련된 장애	P08	
21751	2018-10-22 07:14:04.234574+00	2018-10-24 16:12:08.000422+00	Y44.9	f	Other and unspecified agent affecting blood consti	치료용으로 사용시 유해작용을 나타내는 혈액성분에 영향을 주는 기타 및 상세불명의 제제	Y44	
21754	2018-10-22 07:14:04.242075+00	2018-10-24 16:12:08.954718+00	Y45.1	f	Salicylates causing adverse effects in therapeutic	치료용으로 사용시 유해작용을 나타내는 살리실산염	Y45	
21756	2018-10-22 07:14:04.246961+00	2018-10-24 16:12:09.569266+00	Y45.3	f	Other nonsteroidal anti-inflammatory drugs [NSAID]	치료용으로 사용시 유해작용을 나타내는 기타 비스테로이드항염증제	Y45	
180	2018-10-22 07:11:28.85819+00	2018-10-24 13:33:00.321083+00	A15.71	f	Primary respiratory tuberculosis without cavitatio	세균학적 및 조직적으로 확인된 공동이 없거나 상세불명의 일차호흡기결핵	A15	
181	2018-10-22 07:11:28.860633+00	2018-10-24 13:33:00.6281+00	A15.8	f	Other respiratory tuberculosis, confirmed bacterio	세균학적 및 조직학적으로 확인된 기타 호흡기결핵	A15	
182	2018-10-22 07:11:28.863061+00	2018-10-24 13:33:01.242898+00	A15.80	f	Other respiratory tuberculosis with cavitation, co	세균학적 및 조직학적으로 확인된 공동이 있는 기타 호흡기결핵	A15	
183	2018-10-22 07:11:28.865713+00	2018-10-24 13:33:01.857202+00	A15.81	f	Other respiratory tuberculosis without cavitation 	세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 기타 호흡기결핵	A15	
184	2018-10-22 07:11:28.868212+00	2018-10-24 13:33:02.163812+00	A15.9	f	Respiratory tuberculosis unspecified, confirmed Co	세균학적 및 조직학적으로 확인된 상세불명의 호흡기결핵	A15	
185	2018-10-22 07:11:28.870695+00	2018-10-24 13:33:02.471594+00	A15.90	f	Respiratory tuberculosis unspecified with cavitati	세균학적 및 조직학적으로 확인된 공동이 있는 상세불명의 호흡기결핵	A15	
207	2018-10-22 07:11:28.92642+00	2018-10-24 13:33:10.766123+00	A16.70	f	Primary respiratory tuberculosis with cavitation, 	세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 일차호흡기결핵	A16	
12557	2018-10-22 07:13:16.174728+00	2018-10-24 15:24:48.021412+00	P15.5	f	Birth injury to external genitalia	외부생식기의 출산손상	P15	
12558	2018-10-22 07:13:16.177419+00	2018-10-24 15:24:48.306951+00	P15.6	f	Subcutaneous fat necrosis due to birth injury	출산손상으로 인한 피하지방괴사	P15	
244	2018-10-22 07:11:29.02006+00	2018-11-01 09:06:53.687686+00	A18.31	f	Tuberculous enteritis(K93.0*)	결핵성 장염(K93.0*)	A18	
215	2018-10-22 07:11:28.946702+00	2019-02-12 06:44:45.098556+00	A17	t	Tuberculosis of nervous system	신경계통의 결핵	A17†	
224	2018-10-22 07:11:28.97131+00	2019-02-12 06:46:15.022231+00	A18	t	Tuberculosis of other organs	기타 기관의 결핵	A18	
257	2018-10-22 07:11:29.051951+00	2019-02-12 06:46:34.06778+00	A19	t	Miliary tuberculosis	좁쌀결핵	A19	
210	2018-10-22 07:11:28.934006+00	2018-10-24 13:33:11.687712+00	A16.80	f	Other respiratory tuberculosis with cavitation, wi	세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 기타 호흡기결핵	A16	
211	2018-10-22 07:11:28.936469+00	2018-10-24 13:33:11.994888+00	A16.81	f	Other respiratory tuberculosis without cavitation 	세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 기타 호흡기결핵	A16	
212	2018-10-22 07:11:28.938967+00	2018-10-24 13:33:12.30213+00	A16.9	f	Respiratory tuberculosis unspecified, without ment	세균학적 또는 조직학적 확인에 대한 언급이 없는 상세불명의 호흡기결핵	A16	
213	2018-10-22 07:11:28.941562+00	2018-10-24 13:33:12.584631+00	A16.90	f	Respiratory tuberculosis unspecified with cavitati	세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 상세불명의 호흡기결핵	A16	
214	2018-10-22 07:11:28.944079+00	2018-10-24 13:33:12.916535+00	A16.91	f	Respiratory tuberculosis unspecified without cavit	세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 호흡기결핵	A16	
225	2018-10-22 07:11:28.973632+00	2018-10-24 13:33:16.909195+00	A18.0	f	Tuberculosis of bones and joints	골 및 관절의 결핵	A18	
231	2018-10-22 07:11:28.988472+00	2018-10-24 13:33:19.684419+00	A18.10	f	Tuberculosis of kidney(N29.1*)	신장의 결핵(N29.1*)	A18	
241	2018-10-22 07:11:29.012774+00	2018-10-24 13:33:23.670728+00	A18.2	f	Tuberculous peripheral lymphadenopathy	결핵성 말초림프절병증	A18	
243	2018-10-22 07:11:29.017643+00	2018-10-24 13:33:24.590213+00	A18.30	f	Tuberculous peritonitis(K67.3*)	결핵성 복막염(K67.3*)	A18	
247	2018-10-22 07:11:29.027447+00	2018-10-24 13:33:25.819335+00	A18.5	f	Tuberculosis of eye	눈의 결핵	A18	
248	2018-10-22 07:11:29.029804+00	2018-10-24 13:33:26.433505+00	A18.6	f	Tuberculosis of ear	귀의 결핵	A18	
249	2018-10-22 07:11:29.032413+00	2018-10-24 13:33:27.047577+00	A18.7	f	Tuberculosis of adrenal glands(E35.1*)	부신의 결핵(E35.1*)	A18	
251	2018-10-22 07:11:29.037161+00	2018-10-24 13:33:27.972853+00	A18.80	f	Tuberculosis of thyroid gland(E35.0*)	갑상선의 결핵(E35.0*)	A18	
209	2018-10-22 07:11:28.931603+00	2018-10-24 13:33:11.380409+00	A16.8	f	Other respiratory tuberculosis, without mention of	세균학적 또는 조직학적 확인에 대한 언급이 없는 기타 호흡기결핵	A16	
216	2018-10-22 07:11:28.949273+00	2018-10-24 13:33:13.83819+00	A17.0	f	Tuberculous meningitis(G01*)	결핵성 수막염(G01*)	A17	
217	2018-10-22 07:11:28.953445+00	2018-10-24 13:33:14.253542+00	A17.1	f	Meningeal tuberculoma(G07*)	수막결핵종(G07*)	A17	
218	2018-10-22 07:11:28.955963+00	2018-10-24 13:33:14.758528+00	A17.8	f	Other tuberculosis of nervous system	기타 신경계통의 결핵	A17	
219	2018-10-22 07:11:28.95846+00	2018-10-24 13:33:15.033868+00	A17.80	f	Tuberculoma of brain and spinal cord(G07*)	뇌 및 척수의 결핵종(G07*)	A17	
220	2018-10-22 07:11:28.961095+00	2018-10-24 13:33:15.349452+00	A17.81	f	Tuberculous meningoencephalitis(G05.0*)	결핵성 수막뇌염(G05.0*)	A17	
